error rates: 246
2170 1138016369 52
2169 -619122817 2689
2169 -32201537 2
2162 791221786 2480
2141 1317649714 2129
2140 224765323 2134
2132 -15024861 1330
2130 -1309644860 2127
2124 507844416 2130
2118 557285955 841
2118 1590155110 2142
2109 -772978882 2124
2107 179451311 796
2105 -787427568 2049
2097 -1314744706 1860
2088 -225264162 1982
2082 -2075175991 1686
2081 -1228186517 2
2072 782047181 2
2069 -914881403 2063
2066 607228676 1540
2066 118762196 2
2062 2045155715 673
2058 1147662155 1880
2058 1160163270 484
2058 1486303942 12
2055 -350057454 2064
2042 1322258091 1952
2041 492147315 2
2039 1345705637 505
2039 1144234613 1568
2036 -352067573 271
2021 362856078 8
2018 -1696127298 1996
2017 -1011991326 2297
2014 -11623840 2114
2010 -1357186821 1186
2010 -345571022 2030
2003 -856320300 192
2001 -1110465697 754
1991 -535734725 2218
1983 -40581654 543
1974 1707930646 304
1959 285527369 1324
1948 -1183731707 964
1942 623225396 1820
1937 2037093635 1939
1935 -1370932375 3
1931 -1817734951 1940
1931 -925572679 2
1929 -317375721 129
1929 -972995385 1856
1928 2202195 1788
1928 468836219 28
1920 1026200926 1267
1916 -957088257 1936
1915 303202545 2067
1912 -264779901 798
1908 -171246387 1952
1895 -892468374 503
1895 -764322070 1342
1894 367493682 1994
1891 2119490263 1889
1888 449236047 1886
1888 -115786432 1960
1887 -2028246287 1941
1887 506660813 324
1886 1469976856 867
1882 1307388005 2673
1879 2081150977 8
1879 106920745 1609
1879 388024457 150
1876 -557431975 1374
1874 -873540473 326
1866 -974133835 5
1858 842694197 1546
1854 -1636904794 1704
1853 -1629457938 1680
1850 -220055164 288
1844 -371154255 932
1830 143844626 1820
1822 1674583234 2
1814 1545195842 1824
1802 -1614106598 400
1798 962557213 8
1798 1396930997 1790
1797 754274006 1930
1796 874900284 1664
1796 -2031062906 1804
1793 1399670546 1613
1792 -273275463 965
1791 1111088210 1724
1790 1364991130 1776
1784 326431764 912
1784 591718404 2
1783 -1105526735 1814
1782 -649461613 1646
1777 280582829 1782
1773 -1794386544 60
1773 -1808322280 1941
1769 -1791234754 3081
1767 1159352244 650
1767 1417571860 544
1762 1985824712 1764
1754 789075964 1774
1751 1765490095 1749
1750 1194865933 4
1750 1858380013 1086
1739 1862057516 1724
1737 1250944866 1727
1734 -832573337 1820
1733 1102696210 1736
1733 1032138495 3
1731 1529957460 1368
1726 -827203419 2042
1719 745979258 2240
1716 1321582195 1599
1716 -1383908046 1532
1716 2011318531 114
1715 782148733 874
1715 -1140133206 1806
1715 1012722565 520
1712 1799072944 2278
1708 2139035586 868
1708 1983611890 20
1706 -1939495636 463
1701 1269675061 1992
1699 1333805339 1699
1694 191595144 1684
1690 -521969589 1690
1678 933900964 1514
1678 -848338279 1692
1656 -1931437798 1648
1649 -1089906328 1232
1649 -1314377640 156
1648 629448800 1515
1647 1746022278 1640
1645 1551566634 1656
1641 -362925423 1597
1637 621409244 1646
1629 100754159 96
1627 -968324181 2140
1624 -1549055426 1644
1614 2022454156 955
1604 -73390003 1604
1602 -87138802 702
1602 -1477764817 1618
1599 772416961 1599
1599 1602031115 1218
1598 1053598309 1584
1598 -2099381660 20
1596 -734271086 10
1586 -2146759162 2454
1572 506053280 4
1570 -99150916 762
1568 -605163875 1046
1565 -1243635605 1498
1558 -866790697 936
1548 1120564799 1680
1548 -513394779 4
1546 -951539837 814
1546 909047093 2
1544 797973423 1553
1539 -1723843154 822
1539 1844524286 5
1538 590049209 680
1535 938033042 559
1535 1870594826 1152
1532 -1609351972 1010
1526 -1993982308 1798
1526 280924425 1524
1526 -1432346373 1536
1524 352867146 400
1524 1850489202 1102
1522 1839922106 686
1517 341875845 976
1515 177285530 1515
1514 -39965701 818
1513 -1056289239 556
1508 984738786 1512
1506 -1386125934 676
1505 -147180974 1605
1505 -1164806238 2
1503 -1823346196 1503
1501 -1830087507 1498
1495 1501246742 5139
1490 -1296613836 1559
1486 1456860722 34
1484 -2006106065 4
1483 312743980 2
1482 1686122634 92
1478 1094956605 1485
1475 649797268 4
1475 1161112708 1150
1472 -1796194452 234
1472 -756665060 1482
1470 1314753526 668
1469 -489875585 1739
1469 -505471977 942
1468 -1137665489 1648
1466 1242786554 1464
1464 -1178881497 5
1464 -215986913 859
1462 170616747 124
1459 1482548758 968
1459 -416759405 2
1458 -2076404590 1420
1458 -1919065013 901
1458 -561468843 1326
1456 1668325668 1448
1455 -1888900232 1272
1455 224508310 1451
1455 1131658927 1162
1452 -472155292 646
1450 -1517261933 1508
1448 1099654750 948
1441 1393165210 1362
1441 651733959 1628
1436 978668149 572
1435 -2049704932 1138
1435 -1367422212 284
1434 393080585 3
1434 67697753 2
1433 -1325175726 729
1432 1485448627 588
1429 1333158316 1299
1429 660674212 132
1428 -162357239 742
1421 -1900874941 1114
1421 519325139 220
1418 1145782060 854
1418 -1596366145 4
1418 -1975259113 104
1412 -955268240 1418
1411 1999331880 856
1411 811412528 530
1408 1893978116 1686
1406 1678374418 452
1406 549376570 4
1406 1392047827 1486
1402 2127455415 2156
1396 1775370044 1224
1396 239295562 1382
1394 -1836127159 1394
1393 -1417543754 89
1392 -1180059348 1408
1392 -177825341 864
1392 -911452381 528
1392 -742429637 4
1391 -1758741278 1440
1391 524024533 1778
1389 808252957 9
1389 -2037716213 10
1380 1481068645 1381
1379 782245384 1360
1378 -1438723720 419
1378 676076511 795
1376 -242164649 1376
1374 -599465385 1352
1374 -1287594009 4
1371 791492748 1398
1370 539637736 4
1369 1613966388 646
1366 -317166754 532
1364 -724400017 826
1362 -901242618 1362
1356 1469428549 1296
1356 -511224087 676
1356 -235656855 1356
1356 1454957677 786
1354 1927733071 1344
1354 -156833198 1356
1352 -834903509 1344
1351 -1057160193 2
1350 -690969869 1350
1348 -1055466958 4
1342 1006677528 1344
1340 181160870 782
1340 1648442390 10
1335 426934553 113
1334 1087084460 551
1334 1646503540 179
1334 636932364 788
1331 377713748 107
1331 -316406588 764
1327 -357859570 612
1323 -1254813233 1316
1322 332336650 1312
1322 1670878650 2
1320 -1471213919 4
1320 -1334035515 2
1320 -1738919299 796
1315 1135218060 674
1313 721794926 856
1312 1737800759 20
1312 114794335 50
1310 2097514455 316
1310 2076989072 1034
1310 177893935 4
1310 1856970839 150
1306 -1264570711 1330
1304 -552241230 712
1304 -506529318 2
1302 1277197684 6
1302 938603308 1296
1301 -1569686728 939
1299 -1340856065 777
1299 -307038217 4
1298 -648446051 164
1298 -1413875003 1196
1294 -1194954539 1290
1292 422920335 104
1292 -607376868 1246
1292 1381369866 2
1292 1393815930 1292
1285 1445500281 1094
1285 -1318402772 754
1285 570972465 2
1285 218652897 2
1282 -1790019970 737
1276 741688581 1266
1275 -1705483648 864
1273 -1421199720 180
1273 -1496223232 178
1270 -2081908008 568
1270 -1946850801 14
1270 -1221327513 13
1270 -1737633036 2
1270 -1380352564 1302
1263 -1914299806 7
1262 1475626810 12
1261 1730398749 90
1260 -1236308489 1046
1259 -569010932 1124
1259 -2011828245 1902
1258 -1708304598 138
1254 -1291811482 237
1254 884087536 1254
1253 -1841815193 1247
1251 -1054939843 252
1250 -1130832528 1141
1249 9661243 1320
1248 -528986393 676
1248 -74175881 1058
1241 30738241 593
1239 -1852773944 855
1239 -1708653968 351
1234 -1193479910 1260
1233 -213650870 880
1232 -1891577832 234
1229 67933411 1231
1228 -2003993978 1228
1226 -1833238178 964
1226 -921720664 698
1226 979038304 1220
1223 588196079 82
1223 1921371447 1294
1220 -116874934 1222
1218 1250036417 556
1218 -740723213 1074
1214 1632381611 1236
1214 1978167716 1220
1210 1097127489 902
1210 2057460793 20
1209 1526422822 1168
1208 1513582685 648
1208 1576684930 20
1207 1666170956 8
1207 826855068 582
1206 -898013000 536
1203 1636467712 836
1203 368713952 126
1202 1149578684 628
1196 -1878961198 1216
1196 -1223319486 20
1192 537748263 1168
1191 1762507441 507
1191 -1499551748 1453
1191 -1996098048 1237
1191 1418228617 684
1186 1428668783 1190
1182 1360998501 741
1179 433602840 986
1179 2029027049 244
1178 -1151788649 214
1178 -1063100225 964
1178 -340424743 958
1176 1895775134 344
1174 658712098 1172
1172 1719603591 13
1172 -1411468754 578
1172 -1758069890 704
1172 40498887 10
1172 383198191 1147
1171 4124567 1152
1167 -831046730 844
1166 1850177511 2
1166 486545091 1017
1166 1938337095 672
1166 1086819835 132
1163 1492287651 3
1162 397112319 82
1157 -583328510 194
1157 -1540343582 120
1157 -1662783651 1409
1155 1439280265 875
1154 1980111263 1387
1154 -232538028 639
1153 583671086 11
1153 994935414 1046
1153 1249888350 72
1152 7869948 4
1152 1986771996 984
1151 -744983446 864
1151 -232895950 106
1148 -1612603528 586
1144 1634203211 881
1144 1049827643 712
1140 1743083848 706
1139 -948542060 594
1134 -1086593480 8
1132 -2063104878 1128
1132 -738547641 894
1131 -1664717974 2
1130 415689516 1084
1127 5209975 116
1127 1675405127 978
1127 2043695023 46
1124 -844876963 2
1122 -1462439174 259
1120 2092140603 564
1119 -1251624249 492
1117 1825386699 765
1116 -1701736661 12
1111 1900235801 10
1111 -2033488010 42
1111 893778409 7
1109 1289378775 828
1107 -1073186779 1111
1106 572348029 20
1105 320134238 1303
1105 135576750 20
1102 -455819296 1109
1100 -157906451 48
1098 1057704418 656
1095 -1791496938 1072
1091 -1269234091 1134
1089 437301792 845
1089 1387822920 262
1089 721716540 1101
1087 -184894249 264
1085 351235592 934
1085 -1744316013 1324
1083 438863744 584
1083 1653575721 1062
1082 456809999 940
1082 -165817799 541
1082 -739393199 518
1081 -13264494 104
1081 1015318503 6
1081 -2096587854 142
1073 -347382955 227
1073 -1714764582 1073
1073 -1463743007 1056
1072 -1463182113 8
1072 -1388712113 18
1071 842761064 1031
1067 -31468168 1098
1067 -1846116232 315
1062 1142417251 909
1062 330141603 8
1062 1336156700 1078
1058 -700138434 218
1058 -901162618 1058
1058 -880720714 632
1057 1618972478 619
1056 230184264 4
1056 102842400 58
1054 -156332644 826
1049 -257604760 376
1046 -139431383 838
1046 753055480 920
1046 -837370827 8
1046 1675767824 2
1045 -1837272253 120
1045 -756859653 542
1045 -959865381 20
1043 -899890717 616
1042 -1699960097 20
1042 -1480428913 1366
1042 -1870453809 1024
1040 -421591030 1067
1039 210903063 1113
1039 1743964863 4
1038 -1666790492 1040
1037 -1388554382 14
1036 -686301160 680
1035 -893764185 9
1035 1597778670 1028
1034 -774974042 1034
1034 -1002354289 1011
1031 -917349030 124
1031 1430707276 909
1031 1089146605 23
1029 386862064 20
1029 1230929976 1144
1027 -1897318955 1150
1024 -1936810009 2
1023 662753369 1023
1022 2026494355 4
1021 1714013775 21
1020 1491891783 1000
1020 -25586450 1022
1020 258552175 2
1019 391076436 762
1019 -1422575842 926
1018 -1558047297 22
1017 2007232794 522
1017 894910997 884
1017 -868457402 20
1015 -1794522680 41
1015 1960167045 752
1015 -2131137567 710
1015 240521734 384
1014 -1345637627 104
1014 317487822 4
1013 1462181183 891
1013 1660509079 8
1012 -539333576 996
1011 1365337741 1027
1009 1828578130 24
1009 914326507 23
1009 1942441050 996
1008 -1296094183 992
1007 -2141754028 750
1007 947046360 782
1006 1740353626 344
1004 660725440 5
1004 1094167216 8
1004 730671488 987
1003 -637246356 462
1003 1517700127 443
1002 733355853 33
1002 1377385917 20
1002 -437001251 982
1002 -1532028080 888
1001 720626857 7
1001 1723208473 4
999 695854779 1059
998 2087699943 166
998 -1724474524 998
997 -1826197946 879
996 -920471762 948
996 -742453682 19
996 -48334330 10
996 -1638543687 989
995 -1675800161 963
995 158250586 1178
994 628410743 1016
994 2136761996 1010
994 84285092 2
994 1711962948 20
993 -735004113 122
992 870454749 145
992 1043530293 864
991 -348594347 913
990 1567276139 998
989 393918327 249
989 2017773623 626
989 1091313351 2
988 1202018138 6
988 -553444424 959
986 -2081854938 687
985 1270797470 4
984 -832896250 927
984 -1109360138 55
984 -370590054 984
982 1379594600 1013
982 952094000 2
980 -392708727 994
980 468708725 1000
980 1073451062 932
979 1144421092 984
977 269444807 1004
977 2098513367 24
976 743021140 762
976 -416086383 977
975 1368000589 942
974 -1640665536 900
972 -165237138 2
971 -1568462387 875
970 260371450 768
970 -480781419 2
970 1844615241 1222
970 1754762452 18
967 399991466 916
964 -2141899517 964
963 633847391 624
963 2122925759 343
961 44602605 1034
961 1142241944 21
960 -1109785808 10
960 -797324712 954
958 703116498 936
958 632752146 20
956 594123407 973
956 383953696 937
955 -1493341740 580
955 -1634287897 831
955 -1266885878 550
955 -541981318 586
954 -317410742 8
954 -1885068134 946
954 -800888898 719
954 -117207932 1706
952 -521056088 620
952 -1180621276 952
950 607606770 952
950 -2002478998 1070
950 870972525 926
949 1909848209 792
949 1484430725 858
949 -68442634 994
949 -1422867343 190
949 -2051695815 750
947 1516441408 977
947 1188527544 2
947 -1783731245 192
946 -1309144659 958
946 1508897384 3
945 -1131075264 5
943 1928155684 941
943 1038574348 2
943 -1046505063 928
942 231350465 970
941 -202583299 962
941 -745315039 2
941 1061174600 956
940 692220209 6
940 1574706192 978
940 1837130752 918
940 497205656 8
940 -508483633 942
940 376639013 946
940 -954049687 972
939 805965823 780
936 639940050 31
936 350493210 3474
935 1852301624 963
934 1667449033 930
934 -666722321 1028
933 -1813131491 29
933 -1138138797 724
933 -983512965 220
932 -684400475 931
932 -182892604 920
932 -1579610003 2
931 1333695161 906
931 -1623815242 14
931 681630851 926
931 -690300524 923
931 -1927057514 188
931 674259920 924
931 53805369 3
930 113568448 920
930 1854177328 10
929 402277560 24
929 878315576 859
928 -798154762 9
928 -1577755434 609
928 -544692746 605
927 -948233889 927
927 -400242727 994
926 1476244628 926
925 410135293 936
924 1082942221 912
924 82333207 912
924 -1821143736 922
923 287458513 928
922 1981996210 4
922 -2099618003 20
922 1613614099 802
922 -523292699 656
921 1494837712 917
920 -128794865 832
919 -1176050711 821
919 1523600435 448
918 -1863689197 62
918 -1817225536 947
918 -1660506331 966
915 201840846 941
915 1215757622 156
914 -198164137 20
914 1415640791 662
914 -779637022 914
914 1216863407 234
914 -921247425 882
912 1692238342 145
912 659299693 8
912 372678566 46
912 2114323112 904
912 -180571463 918
912 1857652244 4
911 997746639 388
909 1380271520 30
909 -874374057 20
909 -1409041161 2
909 1179831600 852
909 -1554720769 898
908 1330271696 1036
907 614827347 806
906 1603024867 4
906 1273582235 902
906 1782888543 894
904 796674983 4
904 1923806527 882
903 -1858057782 81
903 1299774248 262
903 -2072571037 901
903 -307977685 2
903 1871187040 2
902 1751100027 8
902 694901227 1040
900 213110043 1644
899 -409333602 5
898 -1820701490 861
898 -2056036250 17
897 -1794221377 929
897 -279303897 16
895 -1111589133 344
895 -809271061 568
893 -922263592 910
893 167784148 916
892 -861767335 211
889 1415922439 2
889 1776967103 816
888 -2121200514 900
888 141885751 896
885 1185323472 122
885 1532411760 653
884 2127934295 893
884 344612649 876
884 -106810111 16
882 -1403942829 878
881 -1751484083 870
879 -1020369431 8
879 -1431946333 900
877 -831497687 867
877 -1173649863 4
877 -934549919 8
873 -1956307470 875
873 1314853885 905
873 -2112362169 851
872 -807650411 1327
872 1132938853 878
872 336907451 1358
871 -417979991 996
871 -542873551 864
871 758133181 2
871 -563307290 882
870 1539461022 870
869 -876350617 762
869 -67151905 77
869 -566778569 28
869 -1262668324 806
868 -274840016 10
868 -1771478288 974
868 -820902798 882
867 1130584765 4
866 -1762696225 110
866 2136334119 866
866 -1859913505 864
864 1602837218 11
862 1005645471 867
862 183771446 590
861 -870619742 772
861 -1827597886 282
860 1328680561 958
860 -289460177 871
860 743477625 892
860 1707674499 651
858 2040065129 888
856 -2143921837 856
856 1644650335 6
856 1545943271 4
856 1949312669 3
855 -1435322609 8
855 -400522137 843
854 -1181129703 870
854 -1640184463 20
854 -778941527 104
854 -321317387 845
852 -416914690 726
852 1493270595 640
851 -303604375 978
850 1624874054 888
850 -1402158028 850
849 -1148488017 12
849 353504471 849
849 -1548456 802
849 -748804137 8
848 -954048929 6
848 1049642816 854
848 -2066914449 840
846 -463963645 848
845 1776236633 845
845 -169831140 24
844 -740838433 126
843 997745178 836
843 905998490 4
842 1103101630 1655
842 1702889262 46
841 -545605227 841
841 1284572356 918
838 865648413 866
838 1077189578 811
836 -677468994 544
836 -1689323532 1376
836 -1161489844 10
836 -115491596 780
836 382472304 836
836 -1870443188 52
835 -700210445 1056
835 436433728 738
834 -1818138198 118
834 -965863686 4
834 -744183243 830
833 -917367599 831
833 -386639435 786
832 1257543023 837
832 510403027 830
832 1972949504 12
832 1471728354 556
832 -1835360885 896
830 -261211388 848
830 1310683698 828
828 -1910910220 828
828 -310885678 828
827 -892775580 22
827 -1140617931 124
827 -732239468 808
827 -1756196726 9
827 -1425751830 510
826 1562756345 323
826 288341360 387
826 -932711293 20
826 -1886925840 4
826 1599289833 486
826 618030441 832
825 889064570 766
825 -2044813903 2
825 -1706012255 823
823 -268405743 835
823 1459665423 4
822 955899539 164
822 -326385879 3
822 591353171 28
822 -265018079 819
822 16201907 154
822 280459051 2
821 -477532652 362
821 -197096460 16
820 891975133 820
820 -1247981500 858
819 1388551416 9
819 7636016 20
819 1781271656 745
818 544329411 20
818 -1441142901 810
818 -1796383989 8
816 -419881280 9
816 -40939199 698
816 -830258759 180
816 -870383608 816
815 1530715735 596
815 -1252262842 259
815 -837530435 210
815 -1902862643 527
815 -459592578 4
814 1272246358 847
814 -1388780583 16
814 1140987404 12
812 1385228482 786
812 303625359 918
811 1408306490 675
811 213614954 11
810 442634928 631
810 550728872 155
810 1528919621 554
810 -2093640860 788
810 1219102397 270
810 1322284535 800
810 643242055 816
808 -1746044412 8
808 -1526614562 847
808 1932631004 367
808 2051673492 2
806 -1183792955 802
806 1780338617 14
806 -780814883 6
805 -654205650 20
805 -1406936155 822
804 -2142911531 577
804 728990056 10
804 -582101467 2
803 580379809 622
803 1616668513 3
803 675540921 180
803 2018312247 759
802 521815201 820
801 -614149761 2
800 -1053464382 843
800 -263317360 8
800 -795374646 12
798 983113087 802
798 -718166533 832
797 2024230403 124
796 -1038709975 818
794 1723970332 799
794 -618002836 842
792 2094359250 784
792 979983889 696
790 1391377726 628
790 1111062838 165
790 -1121755871 688
788 1890806182 582
787 -508676580 619
787 -1182265181 1070
787 664601670 754
786 2113123650 420
786 401237321 788
785 -1579399354 70
783 1276109347 632
783 784381291 624
782 -1464841118 798
781 -2013505239 618
780 2133591149 782
780 -1419177326 187
780 -1106023678 20
779 -1038207048 759
779 123782397 823
779 -1412346933 557
779 -907792077 166
778 1138786440 8
778 1177464696 2
777 1728622724 752
777 1495701820 101
776 -144400236 780
775 1079829674 9
775 -840991189 594
773 -986905294 5892
772 -1604084901 626
772 -1466838667 772
770 -1197932590 6
770 -539009821 16
770 -2023444987 599
770 -915922422 998
769 -845738473 586
768 843319876 12
768 93721196 2
768 -1005691559 44
768 508311708 4
768 2133218404 804
767 -452813937 250
767 -1266733761 518
767 -566066623 827
766 -1797177921 688
766 -1856167825 2
766 -71617123 12
765 -1691082516 1119
765 -1739525409 737
765 422901380 20
764 129827079 753
764 1465509024 962
763 -525920975 93
762 -213092063 751
762 -413351719 762
762 -83750886 636
759 -1487821434 123
759 -253414620 1563
758 1479384178 756
758 359288898 4
758 828211892 758
758 -1747004234 4
757 -1847098238 30
757 -1744997446 954
757 1215097169 960
756 -1722961743 675
756 -1118877448 561
756 1232179466 504
756 372004714 42
756 -1800013999 2
755 907285168 40
753 -1393510082 778
753 -1752702402 195
752 -165655367 751
752 -187057484 18
751 -1718863053 5
750 1541439975 48
750 388727047 788
750 322521454 816
750 -1283139843 4
750 -1557127627 736
749 -778828495 742
749 -267906639 6
749 -1912510152 1025
748 -1170556366 630
748 -1912052265 764
748 1528551918 732
748 -1439701095 73
748 -1263440654 80
747 1692991351 768
747 -1485639682 10
747 -962275376 48
746 -1794911997 20
746 -694307857 764
746 1447723084 2
746 -1901453997 2
746 546241510 746
745 -2119155113 871
745 500723495 741
745 695715499 799
744 -339787206 814
744 -175803652 56
743 836354827 658
743 2121412747 346
742 -610566040 552
741 1921567966 741
741 913453186 720
740 -407335724 737
739 171920284 699
739 -1423739049 6
739 -1829360625 1384
737 -523154225 734
737 -2138363929 135
737 -875787553 5
737 -954721265 4
736 1174141084 724
735 -1703750188 62
735 2131342269 485
734 -821657689 748
733 -405012076 668
732 -1540553638 2
732 1639995891 736
731 747404506 691
731 -1843075279 4
731 -1567785919 834
730 -565069158 10
730 565060389 944
730 -1799378422 708
730 -937685844 2
730 -1454749908 729
730 1924770173 712
730 1119037773 4
729 -101811722 743
727 -1201266706 732
727 -118833640 525
725 254304556 682
725 254135648 111
724 -2127743989 705
724 1823532752 785
724 253389881 10
724 -1959468889 724
723 -676463576 701
722 -1701675385 578
722 -2140435187 20
722 -630549615 180
722 -277897723 708
721 746435219 4
721 -1568892877 986
720 -167337664 3
720 312304093 4
720 -1451579508 681
720 -1756818056 676
719 -323842716 688
719 1447266808 630
719 -596800156 20
719 -1885328908 6
719 -1848722509 733
719 -1567182316 10
718 -1937570832 610
718 926766884 720
717 -878058156 551
717 1046905291 551
717 -860463084 148
717 -362251082 792
716 208492486 551
716 -2013097454 144
716 -1688707939 4
716 -922824203 707
716 878989198 52
